keyword,sentiment,count
earnings,positive,1
revenue,positive,10
margin,positive,10
investment,positive,5
growth,positive,21
capital,positive,15
market,positive,17
performance,positive,4
assets,positive,4
strategy,positive,3
dividend,positive,1
cost,positive,1
risk,positive,2
revenue,negative,2
capital,negative,4
risk,negative,3
market,negative,2
margin,negative,1
revenue,neutral,9
capital,neutral,19
investment,neutral,3
market,neutral,9
assets,neutral,1
outlook,neutral,3
strategy,neutral,5
margin,neutral,5
cost,neutral,1
growth,neutral,5
risk,neutral,2
